a,E2,kinetic,potential,phi
0.7718818897637796,1.3695603713642814,-0.0012570945980659716,0.6849867559430838,nan
0.779748031496063,1.3490734254287755,-0.0011830463156976695,0.684993846798113,nan
0.7876141732283465,1.3293956317446105,-0.0011122058825397763,0.6849995750201258,nan
0.79548031496063,1.3104874039526198,-0.001044575655351481,0.685004116420629,nan
0.8033464566929134,1.2923114622373464,-0.0009801346001597905,0.6850076283304461,nan
0.8112125984251969,1.2748326775503367,-0.0009188418845147029,0.6850102511321504,nan
0.8190787401574804,1.2580179277707781,-0.000860640137043506,0.6850121097295139,nan
0.8269448818897638,1.2418359647853294,-0.0008054583817479171,0.6850133149430777,nan
0.8348110236220473,1.2262572915638676,-0.0007532146597449411,0.6850139648247704,nan
0.8426771653543308,1.2112540483932412,-0.0007038183546458955,0.6850141458874717,nan
0.8505433070866142,1.1967999075079885,-0.0006571722399662419,0.6850139342477339,nan
0.8584094488188977,1.182869975426296,-0.0006131742687946857,0.6850133966819968,nan
0.8662755905511811,1.1694407023619664,-0.00057171912652131,0.6850125915980426,nan
0.8741417322834646,1.1564897981395765,-0.0005326995673605927,0.6850115699244901,nan
0.8820078740157481,1.143996154090981,-0.0004960075553645461,0.6850103759220982,nan
0.8898740157480315,1.1319397704573573,-0.0004615352295025371,0.6850090479209987,nan
0.897740157480315,1.1203016888626696,-0.0004291757117523245,0.6850076189885023,nan
0.9056062992125985,1.1090639294621314,-0.0003988237758393688,0.6850061175322011,nan
0.9134724409448819,1.0982094324034093,-0.0003703763928957303,0.685004567843087,nan
0.9213385826771654,1.0877220032692743,-0.00034373316930420416,0.6850029905834785,nan
0.9292047244094489,1.0775862621985066,-0.000318796690475186,0.6850014032243236,nan
0.9370708661417323,1.0677875964073387,-0.0002954727829159578,0.6849998204361861,nan
0.9449370078740158,1.0583121158569038,-0.0002736707061094209,0.6849982544382088,nan
0.9528031496062993,1.0491466118332107,-0.00025330328415492596,0.684996715308895,nan
0.9606692913385827,1.0402785182253111,-0.00023428698619778893,0.6849952112623711,nan
0.9685354330708662,1.031695875304793,-0.00021654196361002755,0.6849937488935192,nan
0.9764015748031496,1.0233872958255976,-0.00019999205100963084,0.6849923333951179,nan
0.9842677165354331,1.0153419332776705,-0.0001845647372597594,0.684990968749846,nan
0.9921338582677166,1.0075494521411663,-0.00017019111185188912,0.6849896578997683,nan
1.0,1.0,-0.0003558756342293322,0.6850879378171146,nan
